year,hc_name,race_ethnicity,minority,former_player,team,hc_round,prior_role,side,previous_interim,internal_promotion,hired_from_college,active,tenure_end_year,tenure_length,notes
2021,David Culley,Black,1,0,Houston Texans,1,0,Offense,0,0,0,0,2021,1,"Assistant HC/WR Coach, Ravens"
2021,Urban Meyer,White,0,0,Jacksonville Jaguars,1,0,None,0,0,1,0,2021,1,Hired from college; no NFL coordinator experience
2021,Brandon Staley,White,0,0,Los Angeles Chargers,1,1,Defense,0,0,0,0,2023,3,"Former DC, Rams"
2021,Arthur Smith,White,0,0,Atlanta Falcons,1,1,Offense,0,0,0,0,2023,3,"Former OC, Titans"
2021,Robert Saleh,Lebanese American,1,0,New York Jets,1,1,Defense,0,0,0,0,2024,4,"Former DC, 49ers"
2021,Nick Sirianni,White,0,0,Philadelphia Eagles,1,1,Offense,0,0,0,1,NA,4,"Former OC, Colts"
2022,Matt Eberflus,White,0,0,Chicago Bears,1,1,Defense,0,0,0,0,2024,3,Hired from Colts (DC)
2022,Nathaniel Hackett,White,0,0,Denver Broncos,1,1,Offense,0,0,0,0,2022,1,Hired from Packers (OC)
2022,Lovie Smith,Black,1,0,Houston Texans,3,1,Defense,0,1,0,0,2022,1,Promoted by Texans (DC)
2022,Doug Pederson,White,0,1,Jacksonville Jaguars,2,1,Offense,0,0,0,0,2024,3,"Former HC, Eagles"
2022,Josh McDaniels,White,0,0,Las Vegas Raiders,2,1,Offense,0,0,0,0,2023,2,"Former OC, Patriots"
2022,Mike McDaniel,Multiracial,1,0,Miami Dolphins,1,1,Offense,0,0,0,1,NA,3,"Former OC, 49ers"
2022,Kevin O'Connell,White,0,1,Minnesota Vikings,1,1,Offense,0,0,0,1,NA,3,"Former OC, Rams"
2022,Dennis Allen,White,0,0,New Orleans Saints,2,1,Defense,0,1,0,0,2024,3,"Promoted from DC, Saints"
2022,Brian Daboll,White,0,0,New York Giants,1,1,Offense,0,0,0,1,NA,3,"Former OC, Bills"
2023,Jonathan Gannon,White,0,0,Arizona Cardinals,1,1,Defense,0,0,0,1,NA,2,Hired post-SB LVI
2023,DeMeco Ryans,Black,1,1,Houston Texans,1,1,Defense,0,0,0,1,NA,2,Hired post-SB LVI
2023,Shane Steichen,White,0,0,Indianapolis Colts,1,1,Offense,0,0,0,1,NA,2,Hired post-SB LVI
2023,Todd Bowles,Black,1,1,Tampa Bay Buccaneers,2,1,Defense,0,1,0,0,2024,2,Promoted internally after Arians retirement
2023,Frank Reich,White,0,1,Carolina Panthers,2,1,Offense,0,0,0,0,2023,1,Recycled HC
2023,Sean Payton,White,0,0,Denver Broncos,3,1,Offense,0,0,0,1,NA,2,No notes
2024,Jim Harbaugh,White,0,1,Los Angeles Chargers,2,0,Offense,0,0,1,1,NA,1,Returned to NFL from Michigan
2024,Mike Macdonald,White,0,0,Seattle Seahawks,1,1,Defense,0,0,0,1,NA,1,"Former DC, Ravens"
2024,Dave Canales,Hispanic,1,0,Carolina Panthers,1,1,Offense,0,0,0,1,NA,1,"Former OC, Buccaneers"
2024,Brian Callahan,White,0,0,Tennessee Titans,1,1,Offense,0,0,0,1,NA,1,"Former OC, Bengals"
2024,Raheem Morris,Black,1,1,Atlanta Falcons,2,1,Defense,0,0,0,1,NA,1,"Former interim HC, Falcons"
2024,Jerod Mayo,Black,1,1,New England Patriots,1,0,Defense,1,1,0,1,NA,1,Promoted from within; former assistant
2024,Antonio Pierce,Black,1,1,Las Vegas Raiders,1,0,Defense,1,1,0,1,NA,1,No notes
2024,Dan Quinn,White,0,0,Washington Commanders,2,1,Defense,0,0,0,1,NA,1,"Former HC, Falcons; DC, Cowboys"
